id,full_name,first_name,last_name,is_active,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GS,MIN,OREB,PF,PF_AST,PF_BLK,PF_DREB,PF_FG3A,PF_FG3M,PF_FG3_PCT,PF_FGA,PF_FGM,PF_FG_PCT,PF_FTA,PF_FTM,PF_FT_PCT,PF_GP,PF_GS,PF_MIN,PF_OREB,PF_PF,PF_PTS,PF_REB,PF_STL,PF_TOV,PTS,REB,STL,TOV
76061,Bob Armstrong,Bob,Armstrong,False,3,,,,,,37,11,0.297297297297,12,6,0.5,19,,110,,13,,,,,,,,,,,,,,,,,,,,,,28,39,,
2220,Brandon Armstrong,Brandon,Armstrong,False,24,4,41,75,25,0.333333333333,287,101,0.351916376306,20,12,0.6,108,0,695,22,83,3.0,0.0,1.0,1.0,0.0,0.0,12.0,3.0,0.25,0.0,0.0,0.0,8.0,0.0,31.0,1.0,4.0,6.0,2.0,1.0,0.0,239,63,22,37
353,Darrell Armstrong,Darrell,Armstrong,False,3394,98,1615,2763,923,0.33405718422,6507,2663,0.409251575226,1679,1463,0.871351995235,840,337,19918,654,1398,127.0,6.0,83.0,136.0,39.0,0.286764705882,284.0,113.0,0.397887323943,90.0,81.0,0.9,51.0,13.0,1118.0,34.0,96.0,346.0,117.0,48.0,83.0,7712,2269,1133,1556
200756,Hilton Armstrong,Hilton,Armstrong,False,102,142,474,7,2,0.285714285714,693,347,0.500721500721,316,184,0.582278481012,292,40,3379,292,544,4.0,9.0,23.0,1.0,0.0,0.0,39.0,19.0,0.487179487179,28.0,11.0,0.392857142857,27.0,1.0,177.0,19.0,40.0,49.0,42.0,7.0,16.0,880,766,90,230
76060,Paul Armstrong,Paul,Armstrong,False,358,,,,,,1176,347,0.29506802721,500,346,0.692,153,,,,456,11.0,,,,,,41.0,11.0,0.268292682926,5.0,2.0,0.4,6.0,,,,14.0,24.0,7.0,,,1040,89,,
1642379,Taran Armstrong,Taran,Armstrong,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76059,Tate Armstrong,Tate,Armstrong,False,105,0,57,,,,350,159,0.454285714285,40,32,0.8,92,,975,31,64,,,,,,,,,,,,,,,,,,,,,,350,88,33,79
76062,Jesse Arnelle,Jesse,Arnelle,False,18,,,,,,164,52,0.317073170731,69,43,0.623188405797,31,,409,,60,,,,,,,,,,,,,,,,,,,,,,147,170,,
76063,Jay Arnette,Jay,Arnette,False,139,,,,,,447,163,0.364653243847,129,98,0.75968992248,114,,1177,,233,10.0,,,,,,32.0,11.0,0.34375,8.0,7.0,0.875,9.0,,81.0,,22.0,29.0,10.0,,,424,116,,
76064,Bob Arnzen,Bob,Arnzen,False,24,,,,,,277,128,0.462093862815,52,45,0.865384615384,55,,594,,54,,,,,,,,,,,,,,,,,,,,,,301,152,,
